🌷丨MV,#genre#	
陈星《新打工谣》, https://vd2.bdstatic.com/mda-pjb1egh1ynqaqzmj/sc/cae_h264/1697082611628179795/mda-pjb1egh1ynqaqzmj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699161330-0-0-fbeccc7f805219163d3d24baae892a6b&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0930114797&vid=5524015640278380506&klogid=0930114797&abtest=112751_4-114240_1	
陈星《流浪歌》, https://vd3.bdstatic.com/mda-ig9xz6di3h8q266n/logo/sc/mda-ig9xz6di3h8q266n.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699161177-0-0-fbf94fc18d5278274fb12e8286f05bcc&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0777195976&vid=8069445751799052284&klogid=0777195976&abtest=112751_4-114240_1	
邰正宵-《九百九十九朵玫瑰》, https://vd4.bdstatic.com/mda-piv5evwqdr0ttawf/720p/h264/1696045931175813309/mda-piv5evwqdr0ttawf.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699161422-0-0-b78528f5e32e8c4211c62c0cd35fdd0d&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=1022153929&vid=8465421803101280145&klogid=1022153929&abtest=112751_4-114240_1	
邰正宵《千纸鹤》, https://vd2.bdstatic.com/mda-pgkbp5dtcq7egcf5/720p/h264/1689927311627618621/mda-pgkbp5dtcq7egcf5.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699161110-0-0-0e69d28cbeb4b2624acefbbe01987285&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0710788435&vid=16997548958470460143&klogid=0710788435&abtest=112751_4-114240_1	
邰正宵《找一个字代替》, https://vd4.bdstatic.com/mda-pdqar26hwa08972y/sc/cae_h264/1682440323620920696/mda-pdqar26hwa08972y.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699161039-0-0-2c30e994ba1f1e68a45dee6839696fe7&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0639571667&vid=705791632279178282&klogid=0639571667&abtest=112751_4-114240_1	
誓言《求佛》, https://vd4.bdstatic.com/mda-mfkfav02znq7ip38/sc/cae_h264/1624273857040632822/mda-mfkfav02znq7ip38.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699160947-0-0-d2137382f750760c81b9e03b78c99a09&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0547288176&vid=1408277264266353845&klogid=0547288176&abtest=112751_4-114240_1	
唐磊《丁香花》, https://vd2.bdstatic.com/mda-mhegmzgsktbb7wc7/sc/cae_h264/1629030631633625639/mda-mhegmzgsktbb7wc7.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699160878-0-0-153f6c093878c0f239bd9acfc325be2c&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0478790852&vid=12157065105478476040&klogid=0478790852&abtest=112751_4-114240_1	
王强《秋天不回来》, https://vd2.bdstatic.com/mda-pde9ux9t2yij8ezj/sc/cae_h264/1681896959676003225/mda-pde9ux9t2yij8ezj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1699160798-0-0-11e63e77ff38dea71844432e4c16a838&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=0398605454&vid=1466502661546046756&klogid=0398605454&abtest=112751_4-114240_1	
《篇章》, https://vd3.bdstatic.com/mda-ni48zdb1gq08ah16/haokan_t/dash/1662388385394761107/mda-ni48zdb1gq08ah16-1.mp4?cr=0&cd=1&abtest=112751_4-114240_1&logid=3477434613&pd=1&pt=3&vid=16684897994760637929	
2023最火中文版DJ舞曲串烧,https://vd4.bdstatic.com/mda-pcfdqtr8x5ji292e/720p/h264/1678962148595670791/mda-pcfdqtr8x5ji292e.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698936929-0-0-64d67373a586d6f05e7693c115a7c368&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=3329781276&vid=8295352332773159902&klogid=3329781276&abtest=112751_4-114240_1	
10首火爆又好听的DJ音乐舞曲, https://vd4.bdstatic.com/mda-pen8861e8du5cz78/sc/cae_h264/1684996472610342925/mda-pen8861e8du5cz78.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698503960-0-0-162798e6f804f1869211cfda81b05645&bcevod_channel=searchbox_feed&pd=1&cr=2&cd=0&pt=3&logid=2359998155&vid=7738849920719707445&klogid=2359998155&abtest=112751_4-112954_1	
2021最爱听的《8首伤感DJ舞曲》,https://vd3.bdstatic.com/mda-pg1s962b3yuetvfa/720p/h264/1688323016184946685/mda-pg1s962b3yuetvfa.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698503865-0-0-24676492ddb9eee45d2f9fa50922f5e5&bcevod_channel=searchbox_feed&pd=1&cr=2&cd=0&pt=3&logid=2265649243&vid=7818326455928659257&klogid=2265649243&abtest=112751_4-112954_1	
dj情歌美女辣舞dj, https://vd2.bdstatic.com/mda-phc6gur2zfxjck0p/sc/cae_h264/1691903652563903448/mda-phc6gur2zfxjck0p.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698503741-0-0-5eeaa4ddfcc09dbe29c64be3f8a0fc4a&bcevod_channel=searchbox_feed&pd=1&cr=2&cd=0&pt=3&logid=2141780737&vid=16439825086646014843&klogid=2141780737&abtest=112751_4-112954_1	
DJ喝我的酒唱我的愁,https://vd2.bdstatic.com/mda-mcd9yyaqjw18x4hk/sc/mda-mcd9yyaqjw18x4hk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698388585-0-0-eaecbd30c3c5cee986fff4ddb1f7db9d&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=2185453039&vid=5302267822925990140&klogid=2185453039&abtest=112751_4-112954_1	
DJ99步去爱你,https://vd2.bdstatic.com/mda-pjqfdgq0ddy04zgz/sc/cae_h264/1698312062675075085/mda-pjqfdgq0ddy04zgz.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1698388401-0-0-592a704bec708f6cde94e01fd46a0e59&bcevod_channel=searchbox_feed&cr=2&cd=0&pd=1&pt=3&logid=2001231845&vid=3156775186788975429&klogid=2001231845&abtest=112751_4-112954_1	
爱江山更爱美人金典[1280*720],https://vd4.bdstatic.com/mda-mm2a18n5jdh6d8bs/sc/cae_h264/1638516147610932793/mda-mm2a18n5jdh6d8bs.mp4	
经典老歌,https://vd3.bdstatic.com/mda-ihps4033ktcz7mfq/sc/mda-ihps4033ktcz7mfq.mp4	
经典老歌1,https://vd2.bdstatic.com/mda-ncd2yz4tkhsx9x7n/sc/cae_h264_delogo/1647224948607209677/mda-ncd2yz4tkhsx9x7n.mp4	
经典老歌2,https://vd4.bdstatic.com/mda-ifts1w15vc6w8ujq/logo/sc/mda-ifts1w15vc6w8ujq.mp4	
经典老歌3,https://vd2.bdstatic.com/mda-mhwbtsnrmm6v6x5r/sc/cae_h264/1630403250895754314/mda-mhwbtsnrmm6v6x5r.mp4	
经典老歌4,https://vd4.bdstatic.com/mda-igbpw1bm4vdxitj0/logo/sc/mda-igbpw1bm4vdxitj0.mp4	
经典老歌5,https://vd3.bdstatic.com/mda-ig8mrb0k4jjc5ydt/sc/mda-ig8mrb0k4jjc5ydt.mp4	
经典老歌6,https://vdse.bdstatic.com//f203048340fe15016fbec9a72905680d.mp4	
经典老歌7,https://vd3.bdstatic.com/mda-nct6d4p39gziiwud/720p/h264_delogo/1648441969749209277/mda-nct6d4p39gziiwud.mp4	
🌷丨｜春晚,#genre#	
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4	
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4	
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8	
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8	
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8	
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4	
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8	
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8	
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8	
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8	
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8	
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8	
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8	
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8	
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8	
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8	
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8	
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8	
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8	
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8	
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8	
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8	
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8	
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8	
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8	
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8	
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4	
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4	
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8	
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4	


🌷丨央视,#genre#


CCTV1 高清,http://120.196.232.20:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8$自制线路1

CCTV2 高清,http://120.196.232.53:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$自制线路1
CCTV2 高清,http://120.196.232.54:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8$自制线路2
CCTV2 高清,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8$自制线路3
CCTV2 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8$自制线路4
CCTV2 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8$自制线路5

CCTV3 高清,http://120.196.232.49:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8$自制线路1
CCTV3 高清,http://120.196.232.50:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8$自制线路2
CCTV3 高清,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8$自制线路3
CCTV3 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8$自制线路4

CCTV4 高清,http://120.196.232.28:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8$自制线路1
CCTV4 高清,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8$自制线路2
CCTV4 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8$自制线路3

CCTV5 高清,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8$自制线路1
CCTV5 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8$自制线路2
CCTV5 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41140/index.m3u8$自制线路3

CCTV5+ 高清,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8$自制线路1
CCTV5+ 高清,http://120.196.232.52:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8$自制线路2
CCTV5+ 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41140/index.m3u8$自制线路3

CCTV6 高清,http://120.196.232.26:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8$自制线路1
CCTV6 高清,http://120.196.232.25:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8$自制线路2
CCTV6 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel6/index.m3u8$自制线路3

CCTV7 高清,http://120.196.232.32:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8$自制线路1
CCTV7 高清,http://120.196.232.31:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8$自制线路2
CCTV7 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8$自制线路3

CCTV8 高清,http://120.196.232.17:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8$自制线路1
CCTV8 高清,http://120.196.232.18:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8$自制线路2
CCTV8 高清,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel41142/index.m3u8$自制线路3

CCTV9 高清,http://120.196.232.35:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8$自制线路1
CCTV9 高清,http://120.196.232.36:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8$自制线路2
CCTV9 高清,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8$自制线路3

CCTV10 高清,http://120.196.232.28:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8$自制线路1
CCTV10 高清,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8$自制线路2
CCTV10 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8$自制线路3

CCTV11 高清,http://120.196.232.55:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8$自制线路1
CCTV11 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8$自制线路2
CCTV11 高清,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000$自制线路3

CCTV12 高清,http://120.196.232.52:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8$自制线路1
CCTV12 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8$自制线路2
CCTV12 高清,http://120.196.232.51:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8$自制线路3

CCTV13 高清,http://120.196.232.22:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8$自制线路1
CCTV13 高清,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mhd.m3u8$自制线路2
CCTV13 高清,https://ldncctvwbndtxy.liveplay.myqcloud.com/ldncctvwbnd/ldcctv13_2/index.m3u8$自制线路3
CCTV13 高清,http://120.196.232.21:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8$自制线路4
CCTV13 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8$自制线路5

CCTV14 高清,http://120.196.232.28:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8$自制线路1
CCTV14 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8$自制线路2
CCTV14 高清,http://player.200877926.top/alim3u8.html?id=http://111.40.196.27:443/0000000000001000/8203666801302077036/index.m3u8?livemode=1&amp;stbId=10&amp;channel-id=ystenlive&amp;Contentid=8203666801302077036$自制线路3
CCTV14 高清,http://player.200877926.top/169l/0/as.php?id=cctv14$自制线路4
CCTV14 高清,http://120.196.232.27:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8$自制线路5
CCTV14 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8$自制线路6
CCTV14 高清,http://player.200877926.top/alim3u8.html?id=http://111.40.196.27:443/0000000000001000/4832596595465032187/index.m3u8?livemode=1&amp;stbId=10&amp;channel-id=ystenlive&amp;Contentid=4832596595465032187$自制线路7

CCTV15 高清,http://120.196.232.38:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226648/1.m3u8$自制线路1
CCTV15 高清,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8$自制线路2
CCTV15 高清,http://player.200877926.top/169l/0/as.php?id=cctv15$自制线路3
CCTV15 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8$自制线路4

CCTV16 高清,http://120.196.232.16:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8$自制线路1
CCTV16 高清,http://120.196.232.15:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8$自制线路2
CCTV16 高清,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel116/index.m3u8$自制线路3
CCTV16 高清,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000$自制线路4
CCTV16 高清,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$自制线路5
CCTV16 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8$自制线路6
CCTV16 高清,http://player.200877926.top/tc.html?id=http://live.cbncdn.cn/__cl/cg:live/__c/cctv16HD/__op/default/__f/index.m3u8?sig=070fdfa93afee45c40303d944e30c0df&ext_start_limit=1700143241&int_start_limit=1700143241&expires=1700143241&c=null$自制线路7

CCTV17 高清,http://120.196.232.44:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8$自制线路1
CCTV17 高清,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226727/1.m3u8$自制线路2
CCTV17 高清,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8$自制线路3
CCTV17 高清,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8$自制线路4
CCTV17 高清,http://player.200877926.top/169l/0/as.php?id=cctv17$自制线路5





CCTV-1综合,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV-2财经,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV-3综艺,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8
CCTV-3综艺,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41139/index.m3u8
CCTV-4中文国际,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV-5体育,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8
CCTV-5体育,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41140/index.m3u8
CCTV-5+体育赛事,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel13/index.m3u8
CCTV-6电影,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel6/index.m3u8
CCTV-6电影,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41141/index.m3u8
CCTV-7国防军事,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8
CCTV-8电视剧,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel8/index.m3u8
CCTV-8电视剧,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41142/index.m3u8
CCTV-9纪录,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel9/index.m3u8
CCTV-10科教,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel10/index.m3u8
CCTV-11戏曲,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41/index.m3u8
CCTV-12社会与法,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel11/index.m3u8
CCTV-13新闻,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel39/index.m3u8
CCTV-14少儿,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel12/index.m3u8
CCTV-15音乐,http://223.109.210.41/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel40/index.m3u8
CCTV-16奥林匹克,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel116/index.m3u8
CCTV-17农业农村,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel90/index.m3u8
书画频道,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11009/index.m3u8
央广购物,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel11011/index.m3u8
